font_size,fontname,text,has_fullstop,text_length,x0,x1,y0,y1,height,size_diff_prev,xdiff,ydiff,isHeader,headerLevel
17,"Symmetries in quantum field theory
",Symmetries in quantum field theory ,False,35,181.252,429.9887069,612.0349970000001,629.250397,17.21539999999993,,,,True,1
12,"Jiwoo Park
",Jiwoo Park ,False,11,276.849,334.39894176,584.1816912,596.1368912,11.95519999999999,-5,95.59699999999998,-5.260199999999941,,
12,"November 2021
",November 2021 ,False,14,266.281,344.9701264,560.7356912,572.6908912,11.95519999999999,0,-10.567999999999984,0.0,,
14,"1 Noether’s theorem
",1 Noether’s theorem ,False,20,133.768,289.98520642,517.3638372,531.7100372000001,14.346200000000067,2,-132.513,2.3910000000000764,True,2
10,"→
",Classical Noether’s theorem. Say that we have a global symmetry ϕ → ϕ + ϵδϕ that is satisfied off-shell. (ϵ is constant and infinitesimal.) ,True,140,133.76799999999997,477.4796,484.43825560000005,506.35585560000004,21.917599999999993,-4,-2.842170943040401e-14,7.571399999999926,,
10,= ,δS = ϵ ,False,7,223.51999999999998,252.33581933999997,456.54225560000003,466.50485560000004,9.962600000000009,0,89.75200000000001,-11.954999999999984,,
10,"L
",(cid:90) (cid:18) ∂L ∂ϕ ,False,24,253.99599999999998,286.86220521999996,449.70825560000003,476.5070400000001,26.798784400000045,0,30.476,16.836184400000036,,
10,"+
",δϕ + ,False,5,288.058,308.76191028,456.54225560000003,466.50485560000004,9.962600000000009,0,34.06200000000001,-16.836184400000036,,
7,a,∂L ∂∇aϕ ,False,8,312.171,337.07071708,448.7940828,473.24485560000005,24.45077280000004,-3,24.113,14.48817280000003,,
10,"(cid:19)
",(cid:19) ,False,9,362.129,369.46246986,466.54444000000007,476.5070400000001,9.962600000000009,3,49.95800000000003,-14.48817280000003,,
10,∇,∇aδϕ ,False,5,338.267,362.12967532000005,455.6280828,466.50485560000004,10.876772800000026,0,-23.862000000000023,0.9141728000000171,,
10,"= 0
",= 0 ,False,4,372.23,387.72981308,456.54225560000003,466.50485560000004,9.962600000000009,0,33.96300000000002,-0.9141728000000171,,
10,"(1)
",(1) ,False,4,464.75067368000003,477.48088396,456.54225560000003,466.50485560000004,9.962600000000009,0,92.52067368000002,0.0,,
10,"The integrand is local, and when integrated is zero regardless of the field values,
so it must be the divergence of a vector field.
","The integrand is local, and when integrated is zero regardless of the field values, so it must be the divergence of a vector field. ",True,132,133.76800000000003,477.4767037400002,417.24525560000006,439.16285560000006,21.917599999999993,0,-330.98267368,11.954999999999984,,
10,"Define
",Define ,False,7,133.76799999999997,161.30363013999997,364.04225560000003,374.00485560000004,9.962600000000009,0,-5.684341886080802e-14,-11.954999999999984,,
10,"L
",∂L ∂ϕ ,False,6,242.03200000000004,254.74520522000006,383.85725560000003,407.3928556000001,23.535600000000045,0,108.26400000000007,13.573000000000036,,
